id,type,amount,status,created_at,service_fee_amount,merchant_account_id
9jnbtj,sale,100.00,settled,"05/10/2015 15:45:47",,qzmnkckz54r94r4f
f78bwt,sale,100.00,settled,"05/10/2015 11:36:03",,qzmnkckz54r94r4f
7rp6z4,sale,100.00,settled,"05/10/2015 11:34:24",,qzmnkckz54r94r4f
2yg468,sale,10.00,settled,"15/09/2015 11:48:58",,qzmnkckz54r94r4f
g6c6jj,sale,10.00,settled,"15/09/2015 11:48:57",,qzmnkckz54r94r4f
hdghxd,sale,10.00,settled,"15/09/2015 11:48:57",,qzmnkckz54r94r4f
dy7v5p,sale,10.00,settled,"15/09/2015 11:48:56",,qzmnkckz54r94r4f
655ykp,sale,10.00,settled,"15/09/2015 11:48:55",,qzmnkckz54r94r4f
28zrk4,sale,10.00,settled,"15/08/2015 11:18:24",,qzmnkckz54r94r4f
g7d2k4,sale,10.00,settled,"15/08/2015 11:18:23",,qzmnkckz54r94r4f
7vy9r8,sale,10.00,settled,"15/08/2015 11:18:23",,qzmnkckz54r94r4f
hnzh2t,sale,10.00,settled,"15/08/2015 11:18:22",,qzmnkckz54r94r4f
2z5zf4,sale,10.00,settled,"15/08/2015 11:18:22",,qzmnkckz54r94r4f
hbbnt4,sale,10.00,settled,"15/07/2015 11:13:35",,qzmnkckz54r94r4f
gc2d9t,sale,10.00,settled,"15/07/2015 11:13:34",,qzmnkckz54r94r4f
dw3z2d,sale,10.00,settled,"15/07/2015 11:13:33",,qzmnkckz54r94r4f
hsysk8,sale,10.00,settled,"15/07/2015 11:13:32",,qzmnkckz54r94r4f
5pshnj,sale,10.00,settled,"15/07/2015 11:13:32",,qzmnkckz54r94r4f
63y798,sale,10.00,settled,"15/06/2015 12:26:14",,qzmnkckz54r94r4f
7pb5gy,sale,10.00,settled,"15/06/2015 12:26:12",,qzmnkckz54r94r4f
8nmdz8,sale,10.00,settled,"15/06/2015 12:26:12",,qzmnkckz54r94r4f
6pzvyp,sale,10.00,settled,"15/06/2015 12:26:11",,qzmnkckz54r94r4f
2stsxj,sale,10.00,settled,"15/06/2015 12:26:11",,qzmnkckz54r94r4f
83gbwd,sale,10.00,settled,"15/05/2015 11:51:58",,qzmnkckz54r94r4f
hhkw5t,sale,10.00,settled,"15/05/2015 11:51:57",,qzmnkckz54r94r4f
8phzkt,sale,10.00,settled,"15/05/2015 11:51:56",,qzmnkckz54r94r4f
gj9mnj,sale,10.00,settled,"15/05/2015 11:51:55",,qzmnkckz54r94r4f
bn4jmd,sale,10.00,settled,"15/05/2015 11:51:55",,qzmnkckz54r94r4f
459wzt,sale,100.00,settled,"12/05/2015 02:54:00",,qzmnkckz54r94r4f
gx5nhj,credit,10.00,settled,"12/05/2015 02:12:07",,qzmnkckz54r94r4f
d5ppqt,sale,10.00,settled,"11/05/2015 09:23:29",,qzmnkckz54r94r4f
6bc22d,sale,10.00,settled,"11/05/2015 09:22:49",,qzmnkckz54r94r4f
hfd5q8,sale,10.00,settled,"11/05/2015 09:21:54",,qzmnkckz54r94r4f
5m32pp,sale,5.00,settled,"11/05/2015 09:05:33",,qzmnkckz54r94r4f
4tqybd,sale,100.00,settled,"11/05/2015 09:04:57",,qzmnkckz54r94r4f
k6sq9t,sale,100.00,settled,"11/05/2015 03:37:25",,qzmnkckz54r94r4f
